project_url,project_title,Deployment Type,Reason
https://github.com/dajebbar/mlzoomcamp-capstone2,Movie Review Sentiment Analysis,Unknown,
https://github.com/ngalkov/mlzoomcamp_capstone,Mining Impurity Prediction,Web Service,web service
https://github.com/gabrielorce/mlbookcamp2022-capstone2,Electronics Component Detection,Unknown,
https://github.com/ElenaNKn/ml-zoomcamp-solutions/tree/master/third_final_project,Steel Strength Predictor,Unknown,
https://github.com/alejomaar/google-arts-and-culture,Color Classification with FastAPI,Web Service,fastapi
https://github.com/praveenbalijepalli/mlzoomcamp-capstone-project1,Vertebrae Fracture Detection,Batch,batch
https://github.com/rizdiaprilian/MLZoomcamp_2022/tree/master/Project_2,Unknown,Unknown,
https://github.com/darkcorpd/ml-zoomcamp/tree/main/kitchenware-classification,Kitchenware Classification Solution,Unknown,
https://github.com/angelineolapa/New_Exporter_Success,Export Success Predictor,Web Service,flask
https://github.com/JustBearMe/datatalksclub_mlzc_capstone2,Trash Tank Capacity Detection,Unknown,
https://github.com/yegireddihemanth/MLZoomcamp2022.git,Unknown,Unknown,
https://github.com/danannisar/flower_classification,Flower Classification with CNN,Unknown,
https://github.com/moro23/dl_Maize_Disease_Classification,Maize Disease Classification,Unknown,
https://github.com/dheerajkarra/ML_Engineering/tree/main/Capstone_Project,Wine Review Classifier Deployment,Unknown,
https://github.com/xtbtds/brain_tumor_classification_mlzoomcamp,Brain Tumor Classifier,Web Service,fastapi
https://github.com/adamorad/capstoneprojectml,Titanic Survival Prediction Deployment,Unknown,
https://github.com/K0nkere/dice-detection-project.git,DnD Dice Summarizer,Web Service,flask
https://github.com/JesusAcuna/Kitchenware_classification,Kitchenware Classification Model can be shortened to,Web Service,flask
https://github.com/suri976/capstone2.git,Unknown,Unknown,
https://github.com/nirmadevi7/zoomcamp_homework/tree/main/Capestone_Project2,Unknown,Unknown,
https://github.com/vermadev54/mlzoomcamp_2022/tree/main/CapstoneProject2,Unknown,Unknown,
https://github.com/EdidiongEsu/mlzoomcamp_capstone_one,Car Image Prediction Service,Unknown,
https://github.com/MuhammadAwon/wildfire-classification,Wildfire Image Classification,Unknown,
https://github.com/msinha251/mlzoomcamp-2022-capstone-project-2,Kitchenware Image Classification Challenge,Unknown,
https://github.com/ptrisha/ml-capstone2,Scenery Classifier AI,Unknown,
https://github.com/Kibzik/kitchenware-classification_cv,Kitchenware Image Classification,Web Service,flask
https://github.com/illyge/counter-ai,AI Response Identification API,Unknown,
https://github.com/yadwink/Machine-Learning/tree/main/CapStone%20project,Unknown,Unknown,
https://github.com/Sivapriyapj/pneumonia_detection.git,Unknown,Unknown,
https://github.com/AaishaMuhammad/mlzoomcamp_capstone2,Landscape Image Classification,Web Service,flask
https://github.com/rahmatmamat1/unet_lung_segmentation,Automatic Lung Segmentation Model,Web Service,flask
https://github.com/bsenst/capstone2-predict-service-utilisation,NHS Service Demand Prediction,Unknown,
https://github.com/segobee/Kitchenware_Classification,Kitchenware Classification AI,Unknown,
https://github.com/venky-lucky/Zoomcamp_Homework/tree/main/capstone2,Kitchenware Classification Model,Unknown,
https://github.com/Tobi-Ade/Credit-Card-Offer-Acceptance,Credit Card Acceptance Prediction,Web Service,flask
https://github.com/AEBU/mlzoomcamp/tree/main/capstone-project2,Monthly Electronics Request Forecasting,Unknown,
https://github.com/SimonIlishaev/ml-zoomcamp-hw/tree/master/scoring,Scoring Model Deployment,Unknown,
https://github.com/GattigorlaShivani/MLZoomCamp.git,ML Bootcamp on Zoom,Unknown,
https://github.com/Danselem/gender_determination,Gender Detection through Eyes,Unknown,
https://github.com/Mani1213/ML_ZoomCamp_2022.git,ZoomCamp 2022 Hashtag,Unknown,
https://github.com/DonAvery/health-insurance-cross-sell-prediction,Marketing Response Predictor,Unknown,
https://github.com/ranga4all1/pneumonia-classification,Pneumonia Classification with Xception,Unknown,
https://github.com/jiujitsa/turnover_prediction_app,Turnover Predictor App,Unknown,
https://github.com/sotoblanco/skin-cancer-detection,Skin Cancer Classifier,Unknown,
https://github.com/JavierMoraga1/capstone2_project,Apple Leaf Disease Classification,Unknown,
https://github.com/drew-two/MLBookcamp-Final,Car Insurance Claim Prediction,Unknown,
https://github.com/Emekadavid/kitchenware-classification,Kitchenware Classification Model -> Kitchenware,Web Service,flask
https://github.com/De1iad/ML-Zoomcamp-Capstone2,Flower Classification Guide,Unknown,
https://github.com/chintalapudipraneeth/MlZoomCamp/tree/main/Capstone%20Project2,Unknown,Unknown,
https://github.com/jcdumlao14/ML-zoomcamp-course-homework/tree/main/Capstone%20Project-2,Heart Disease Prediction,Unknown,
https://github.com/moro23/ml_generator_failure_detection,Wind Turbine Failure Detection,Web Service,flask
https://github.com/kmue/mlbookcamp-capstone,Kitchenware Image Classification,Unknown,
https://github.com/gregorywmorris/MLZoom2022/tree/main/capstone-1,Loan Risk Identification,Unknown,
https://github.com/dajebbar/mlzoomcamp-capstone1,Kitchenware Classification with CNN,Unknown,
https://github.com/Mostafa-Elseidy/Machine-Learning-Zoomcamp/tree/main/Capstone_1,Online Shopper Prediction Service,Unknown,
https://github.com/harg74/ML_ZoomCamp_2022/tree/main/capstone_project_one,Diamond Value Predictor,Unknown,
https://github.com/tanyashagova/roasted-coffee-been-classification,Bean Roasting Classifier,Web Service,flask
https://github.com/yuliyagk/capstone1,Kitchenware Image Classification,Web Service,flask
https://github.com/alejomaar/Machine-Learning-Zoomcamp/tree/main/Capstone%201,Unknown,Unknown,
https://github.com/DonAvery/customer-marketing-project,Customer Response Predictor,Unknown,
https://github.com/RomuloPagnozzi/mlzoomcamp-project,Bank Fraud Prediction App,Web Service,flask
https://github.com/douglas-dm9/xgboost-regressor-AWS-Lambda,Cloud-Deployed Toyota Price Estimator,Unknown,
https://github.com/mary435/kitchenware_classification.git,Kitchenware Image Classification,Web Service,flask
